Champ20,Champ30,Champ21,LIBELLE,INTIT,CPT,FIXE,ANA,CLO
,,,,A JUSTIFIER,41301100,,N,N
,,,,A REGULARISER,99999999,,N,N
,,,,A.F.D.L.                      ,41203390,D,,
,,,,A.F.D.L.                      ,41202390,D,,
,,,,A.F.D.L.                      ,41204390,D,,
,,,,A.F.D.L.                      ,41201390,D,,
,,,,ABONNEMENT TBC                ,70031200,D,,
,,,,ABONNEMENT TBC                ,70033200,D,,
,,,,ABONNEMENT TBC                ,70034200,D,,
,,,,ABONNEMENT TBC                ,70032200,D,,
,,,,ACCOUCHEMENT,71011800,D,,
,,,,ACCOUCHEMENT,71013800,D,,
,,,,ACCOUCHEMENT,71012800,D,,
,,,,ACCOUCHEMENT,71014800,D,,
,,,,ACHAT SANG                    ,60211000,V,,
,,,,ACHAT SANG                    ,60214000,V,,
,,,,ACHAT SANG                    ,60213000,V,,
,,,,ACHAT SANG                    ,60212000,V,,
,,,,ACTES        ,71014100,D,,
,,,,ACTES        ,71012100,D,,
,,,,ACTES        ,71013100,D,,
,,,,ACTES        ,71011100,D,,
,,,,ACTES1,71011000,,N,N
,,,,ADM. SHAMBA MANENGA           ,42121030,D,,
,,,,ADM. SHAMBA MANENGA           ,42124030,D,,
,,,,ADM. SHAMBA MANENGA           ,42122030,D,,
,,,,ADM. SHAMBA MANENGA           ,42123030,D,,
,,,,AIR ZAIRE                     ,41001060,D,,
,,,,AIR ZAIRE                     ,41002060,D,,
,,,,AIR ZAIRE                     ,41004060,D,,
,,,,AIR ZAIRE                     ,41003060,D,,
,,,,AKONGA OKOTA                  ,45934180,D,,
,,,,AKONGA OKOTA                  ,45932180,D,,
,,,,AKONGA OKOTA                  ,45931180,D,,
,,,,AKONGA OKOTA                  ,45933180,D,,
,,,,ALLOCATION FAMILIALES LEGALES ,65144000,F,,
,,,,ALLOCATION FAMILIALES LEGALES ,65141000,F,,
,,,,ALLOCATION FAMILIALES LEGALES ,65143000,F,,
,,,,ALLOCATION FAMILIALES LEGALES ,65142000,F,,
,,,,AMBEKE SHONGANIE              ,45951010,D,,
,,,,AMBEKE SHONGANIE              ,45953010,D,,
,,,,AMBEKE SHONGANIE              ,45954010,D,,
,,,,AMBEKE SHONGANIE              ,45952010,D,,
,,,,AMENDES ET PENALITES FSCALES  ,66143000,V,,
,,,,AMENDES ET PENALITES FSCALES  ,66142000,V,,
,,,,AMENDES ET PENALITES FSCALES  ,66141000,V,,
,,,,AMENDES ET PENALITES FSCALES  ,66144000,V,,
,,,,AMORTISSEMENTS                ,28001000,D,,
,,,,AMORTISSEMENTS                ,28002000,D,,
,,,,AMORTISSEMENTS                ,28004000,D,,
,,,,AMORTISSEMENTS                ,28003000,D,,
,,,,AMORTISSEMENTS BATIMENTS,28101000,,N,N
,,,,AMORTISSEMENTS EQUIPEMENTS,28101001,,N,N
,,,,AMORTISSEMENTS MATERIELS,28101002,,N,N
,,,,AMORTISSEMENTS MOBILIERS,28101003,,N,N
,,,,Amputation,71011040,,,
,,,,AMUNYI SHOSOLA                ,45922010,D,,
,,,,AMUNYI SHOSOLA                ,45924010,D,,
,,,,AMUNYI SHOSOLA                ,45921010,D,,
,,,,AMUNYI SHOSOLA                ,45923010,D,,
,,,,ANALGESIQUE-ANTIPYRETIQUES-AIN,70011112,,N,N
,,,,Analgesiques - Antipyretiques,30013112,,N,N
,,,,Analgesiques - antipyretiques-,30012112,,N,N
,,,,Analgésiques - Antipyrétiques ,30011112,,,
,,,,Analgésiques - Antipyrétiques ,60011112,,,
,,,,ANALGESIQUES MORPHINIQUES,70011113,,N,N
,,,,analgesiques morphiniques et s,30013113,,N,N
,,,,Analgesiques morphiniques et s,30012113,,N,N
,,,,analgesiques morphiniques et s,60013113,,N,N
,,,,analgesiques morphiniques et s,60012113,,N,N
,,,,Analgésiques morphiniques et s,30011113,,,
,,,,Analgésiques morphiniques et s,60011113,,,
,,,,analgesiques-antipyretiques,60013112,,N,N
,,,,analgesiques-antipyretiques-ai,60012112,,N,N
,,,,ANESTESIQUES GENERAUX ET MEDIC,70011137,,N,N
,,,,ANESTHESIE,71011001,,N,N
,,,,anesthesies generaux et medic,31112137,,N,N
,,,,anesthesies locaux,31112136,,N,N
,,,,anesthesies locaux,31113136,,N,N
,,,,Anesthesiques generaux et medi,30012137,,N,N
,,,,anesthesiques generaux et medi,30013137,,N,N
,,,,anesthesiques generaux et medi,31113137,,N,N
,,,,anesthesiques generaux et medi,61112137,,N,N
,,,,anesthesiques generaux et medi,61113137,,N,N
,,,,Anesthesiques généraux et medi,30011137,,N,N
,,,,Anesthésiques généraux et medi,31111137,,,
,,,,Anesthésiques généraux et medi,61111137,,,
,,,,Anesthesiques locaux,30012136,,N,N
,,,,Anesthesiques locaux,30011136,,N,N
,,,,anesthesiques locaux,30013136,,N,N
,,,,ANESTHESIQUES LOCAUX,70011136,,N,N
,,,,anesthesiques locaux,61113136,,N,N
,,,,anesthesiques locaux,61112136,,N,N
,,,,Anesthésiques locaux ,31111136,,,
,,,,Anesthésiques locaux ,61111136,,,
,,,,ANEZA                         ,41003120,D,,
,,,,ANEZA                         ,41002120,D,,
,,,,ANEZA                         ,41004120,D,,
,,,,ANEZA                         ,41001120,D,,
,,,,ANNEXE PEDIATRIE(25 ANS)      ,22131000,D,,
,,,,ANNEXE PEDIATRIE(25 ANS)      ,22134000,D,,
,,,,ANNEXE PEDIATRIE(25 ANS)      ,22132000,D,,
,,,,ANNEXE PEDIATRIE(25 ANS)      ,22133000,D,,
,,,,ANNONCES ET PUBLICITE         ,63604000,V,,
,,,,ANNONCES ET PUBLICITE         ,63601000,V,,
,,,,ANNONCES ET PUBLICITE         ,63603000,V,,
,,,,ANNONCES ET PUBLICITE         ,63602000,V,,
,,,,antiallergiques,30013116,,N,N
,,,,Antiallergiques,30011116,,,
,,,,antiallergiques,30012116,,N,N
,,,,antiallergiques,60013116,,N,N
,,,,antiallergiques,60012116,,N,N
,,,,Antiallergiques,60011116,,,
,,,,ANTIALLERGIQUES,70011116,,N,N
,,,,antibiotiques beta lactames,30013122,,N,N
,,,,Antibiotiques beta-lactames,30012122,,N,N
,,,,antibiotiques beta-lactames,60013122,,N,N
,,,,antibiotiques beta-lactames,60012122,,N,N
,,,,antibiotiques beta-lactames,60012123,,N,N
,,,,ANTIBIOTIQUES BETA-LACTAMES,70011122,,N,N
,,,,Antibiotiques bêta-lactames,30011122,,,
,,,,Antibiotiques bêta-lactames,60011122,,,
,,,,antibiotiques non beta lactame,30013123,,N,N
,,,,Antibiotiques non beta-lactame,30012123,,N,N
,,,,antibiotiques non beta-lactame,60013123,,N,N
,,,,Antibiotiques non-beta lactame,30011123,,,
,,,,Antibiotiques non-beta lactame,60011123,,,
,,,,Antidote,30012100,,N,N
,,,,Antidote,30011100,,,
,,,,Antidote,30013100,,N,N
,,,,ANTIDOTE,70011100,,N,N
,,,,Antidote,60011100,,,
,,,,antidote,60013100,,N,N
,,,,antidote,60012100,,N,N
,,,,antiemetiques laxatifs et anti,60013109,,N,N
,,,,antiemetiques laxatifs et ant,30012109,,N,N
,,,,antiemetiques laxatifs et ant,30013109,,N,N
,,,,antiemetiques laxatifs et ant,60012109,,N,N
